mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sgd__alpha,param_sgd__l1_ratio,param_sgd__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
60.00519332885742,13.41949370794122,0.871985387802124,0.3062267363384925,0.0001,0.1,elasticnet,"{'sgd__alpha': 0.0001, 'sgd__l1_ratio': 0.1, 'sgd__penalty': 'elasticnet'}",0.5596775354988701,0.5602083469065148,0.5591114457831325,0.5598870893409704,0.5591855125419711,0.5596139860142918,0.00041665934158574265,1
62.15084381103516,11.507211644850212,0.7159888267517089,0.14859105201147857,0.0001,0.5,elasticnet,"{'sgd__alpha': 0.0001, 'sgd__l1_ratio': 0.5, 'sgd__penalty': 'elasticnet'}",0.5594279032606496,0.5599360831741699,0.5589036473763908,0.5597156385103255,0.5589866295784229,0.5593939803799918,0.000401210987899576,2
58.874833297729495,9.879298829598772,0.695820951461792,0.1857885193753754,0.0001,0.9,elasticnet,"{'sgd__alpha': 0.0001, 'sgd__l1_ratio': 0.9, 'sgd__penalty': 'elasticnet'}",0.559093917271602,0.5594971693487273,0.5586108093576492,0.5593610781925517,0.5587678583185199,0.55906616649781,0.00033759276223493647,3
68.4078387260437,9.691531423849472,0.9836866855621338,0.4556108634862777,0.001,0.1,elasticnet,"{'sgd__alpha': 0.001, 'sgd__l1_ratio': 0.1, 'sgd__penalty': 'elasticnet'}",0.558216775423569,0.5587304417599073,0.558026504926811,0.558269965106327,0.5578303651765532,0.5582148104786334,0.00030072535088729725,4
70.83078637123108,9.45478804800974,0.5971759796142578,0.05586807752504881,0.001,0.5,elasticnet,"{'sgd__alpha': 0.001, 'sgd__l1_ratio': 0.5, 'sgd__penalty': 'elasticnet'}",0.5552925120615577,0.5558418401462132,0.5552051100577172,0.5551104691992012,0.5555967037549103,0.5554093270439199,0.00027086673637966995,5
70.23151125907899,6.975202512069972,0.8684076309204102,0.5048154171651609,0.001,0.9,elasticnet,"{'sgd__alpha': 0.001, 'sgd__l1_ratio': 0.9, 'sgd__penalty': 'elasticnet'}",0.5537707155324059,0.5540662965617273,0.5536476507121382,0.5539939813900411,0.5536003302828801,0.5538157948958384,0.00018505735666886095,6
61.51594271659851,14.718325077870626,0.8148566246032715,0.3356840297096298,0.01,0.1,elasticnet,"{'sgd__alpha': 0.01, 'sgd__l1_ratio': 0.1, 'sgd__penalty': 'elasticnet'}",0.5516735304102129,0.5517256514269843,0.551762377378366,0.5517952959378497,0.551389986174205,0.5516693682655236,0.00014542898224988274,7
70.75101284980774,7.196083530909292,0.8623783588409424,0.30290535110077754,0.01,0.5,elasticnet,"{'sgd__alpha': 0.01, 'sgd__l1_ratio': 0.5, 'sgd__penalty': 'elasticnet'}",0.5479647085852231,0.5479647085852231,0.5479643985779182,0.5479643985779182,0.5479643985779182,0.54796452258084,1.5187194267220916e-07,8
59.359089374542236,6.878098712025518,2.274810028076172,3.1478109826196574,0.01,0.9,elasticnet,"{'sgd__alpha': 0.01, 'sgd__l1_ratio': 0.9, 'sgd__penalty': 'elasticnet'}",0.5479647085852231,0.5479647085852231,0.5479643985779182,0.5479643985779182,0.5479643985779182,0.54796452258084,1.5187194267220916e-07,8
73.54146785736084,5.655770742478448,0.6667280673980713,0.05981681493853538,0.1,0.1,elasticnet,"{'sgd__alpha': 0.1, 'sgd__l1_ratio': 0.1, 'sgd__penalty': 'elasticnet'}",0.5479647085852231,0.5479647085852231,0.5479643985779182,0.5479643985779182,0.5479643985779182,0.54796452258084,1.5187194267220916e-07,8
42.55279517173767,1.954363036784316,0.5801316738128662,0.04904483526945686,0.1,0.5,elasticnet,"{'sgd__alpha': 0.1, 'sgd__l1_ratio': 0.5, 'sgd__penalty': 'elasticnet'}",0.5479647085852231,0.5479647085852231,0.5479643985779182,0.5479643985779182,0.5479643985779182,0.54796452258084,1.5187194267220916e-07,8
33.57156934738159,3.5867418739779593,0.5305575847625732,0.05873884020959178,0.1,0.9,elasticnet,"{'sgd__alpha': 0.1, 'sgd__l1_ratio': 0.9, 'sgd__penalty': 'elasticnet'}",0.5479647085852231,0.5479647085852231,0.5479643985779182,0.5479643985779182,0.5479643985779182,0.54796452258084,1.5187194267220916e-07,8
