epoch,train_loss,train_accuracy,train_f1_score,val_loss,val_accuracy,val_f1_score
1,2.5883224116618138,0.5449877254954997,0.5706707328278932,2.5896204756043377,0.5453771369631532,0.5708411106530462
2,1.8783614355897345,0.5453890574897795,0.5692678087388248,1.8793481700921641,0.5456196370180174,0.5693271083829863
3,1.712232413838325,0.5455481638169718,0.5686537283346035,1.7131504063282634,0.5457337546908947,0.5686546838972376
4,1.6456909168297433,0.545657480836603,0.5684728272133927,1.6465805541026977,0.5458193429455527,0.5684490824487634
5,1.610569224422768,0.5456862845682499,0.5683542068613212,1.6114430204747967,0.5458193429455527,0.5682951479317095
6,1.5889751906344247,0.5457454007984395,0.5683587920671244,1.5898386170174137,0.5458884719204687,0.5683018726216703
7,1.5743819094160978,0.5457658377318461,0.5683225688632582,1.5752378961476268,0.5458851800645204,0.568255057852464
8,1.5638686614713964,0.5457754389757283,0.5682972547401102,1.5647189898599325,0.5458840827792042,0.5682103202839549
9,1.5559375781083868,0.5457814740433115,0.568271924020846,1.5567834260563793,0.5458928610617333,0.56818893234112
10,1.549742569672677,0.5457706383537871,0.5682464835593493,1.5505847632411105,0.5458796936379398,0.568159289117428
11,1.5447701178708806,0.5457737930482056,0.5682340021442035,1.5456092620564859,0.5458840827792042,0.568154450726153
12,1.540690768122711,0.5457688552656376,0.5682188376612413,1.5415273211187914,0.545881888208572,0.5681424498808326
13,1.537283598967823,0.5457622715555469,0.5682004188235104,1.538117917213347,0.5458950556323655,0.568137847263529
14,1.5343950171962046,0.5457626830374276,0.5681951235794666,1.5352273841227393,0.5458972502029977,0.5681372303479597
15,1.5319149709053907,0.5457728329238174,0.5681981286574108,1.5327456160325095,0.5458928610617333,0.5681276480287187
16,1.5297625629065232,0.5457713241569216,0.5681923590510352,1.5305916749536461,0.5458840827792042,0.5681174967858276
17,1.5278770031593378,0.5457842172558492,0.5681986476515016,1.5287047393087418,0.5458950556323655,0.5681216227216089
18,1.5262117266942172,0.545779553794535,0.5681898225593385,1.5270382193015888,0.5458994447736301,0.5681194872201606
19,1.5247304584211039,0.5457798281157888,0.5681880563505607,1.5255558199882056,0.5458928610617333,0.5681069155741828
20,1.5234045138527006,0.545778319348893,0.5681853269770402,1.5242288407885372,0.5458983474883139,0.5681089785401275
21,1.522210906367378,0.5457774963851317,0.5681817292759542,1.5230342818862992,0.5458961529176817,0.5681050883789761
22,1.5211309937906843,0.5457762619394897,0.5681790354184784,1.5219534901829368,0.5458774990673075,0.568085994573158
23,1.520149493467932,0.545777084903251,0.568179029486309,1.5209711739049914,0.5458774990673075,0.5680886990897573
24,1.5192537540471216,0.5457772220638779,0.5681780900334206,1.520074674035812,0.5458764017819914,0.5680872047213279
